ma_don,ma_kh,san_pham,danh_muc,so_luong,don_gia,ngay_dat,khu_vuc
D01001,KH04,Tai nghe,Dien tu,1,42.2,2024-08-10,Nam
D01002,KH25,Laptop,Dien tu,2,1548.4,2024-07-29,Nam
D01003,KH37,Dien thoai,Dien tu,1,847.3,2024-12-29,Nam
D01004,KH20,Noi com dien,Gia dung,6,53.6,2024-07-28,Nam
D01005,KH09,Laptop,Dien tu,3,1538.1,2024-11-11,Trung
D01006,KH21,Quan jean,Thoi trang,7,31.7,2024-12-18,Trung
D01007,KH20,Dien thoai,Dien tu,2,731.6,2024-04-14,Bac
D01008,KH08,Sach Python,Sach,9,20.7,2024-08-19,Nam
D01009,KH25,Laptop,Dien tu,1,1624.6,2024-11-26,Trung
D01010,KH29,Sach Spark,Sach,11,23.8,2024-10-24,Bac
D01011,KH05,Sach Spark,Sach,10,26.1,2024-08-10,Nam
D01012,KH05,Dien thoai,Dien tu,1,840.6,2024-08-09,Bac
D01013,KH40,Noi com dien,Gia dung,5,54.2,2024-03-13,Bac
D01014,KH19,Giay the thao,Thoi trang,10,65.3,2024-10-22,Nam
D01015,KH30,Dien thoai,Dien tu,2,723.7,2024-10-07,Nam
D01016,KH26,Giay the thao,Thoi trang,4,54.5,2024-05-04,Nam
D01017,KH25,Ao thun,Thoi trang,5,11.4,2024-06-05,Bac
D01018,KH21,Noi com dien,Gia dung,8,53.9,2024-06-27,Nam
D01019,KH19,Sach Spark,Sach,11,26.4,2024-03-16,Bac
D01020,KH04,Quan jean,Thoi trang,2,33.1,2024-03-23,Bac
D01021,KH06,Sach Spark,Sach,11,23.3,2025-02-16,Nam
D01022,KH36,Sach Python,Sach,3,21.8,2024-03-21,Nam
D01023,KH30,Quan jean,Thoi trang,4,38.4,2024-12-11,Nam
D01024,KH07,Sach Spark,Sach,6,22.6,2024-05-27,Bac
D01025,KH11,May xay,Gia dung,7,36.3,2024-10-22,Nam
D01026,KH04,Sach Spark,Sach,2,25.1,2024-12-08,Bac
D01027,KH17,Laptop,Dien tu,3,1412.3,2024-05-06,Bac
D01028,KH39,Tai nghe,Dien tu,1,42.9,2024-12-17,Bac
D01029,KH04,Ao thun,Thoi trang,10,13.5,2025-01-17,Trung
D01030,KH31,Sach Spark,Sach,4,24.4,2024-09-12,Bac
D01031,KH09,Laptop,Dien tu,1,1478.3,2024-06-07,Bac
D01032,KH29,Tai nghe,Dien tu,1,44.2,2025-01-19,Bac
D01033,KH06,Giay the thao,Thoi trang,3,63.0,2024-03-26,Bac
D01034,KH17,Giay the thao,Thoi trang,9,62.6,2025-02-07,Trung
D01035,KH30,Laptop,Dien tu,1,1412.7,2024-05-30,Bac
D01036,KH36,Noi com dien,Gia dung,1,54.7,2024-05-10,Trung
D01037,KH03,Quan jean,Thoi trang,9,34.8,2024-12-27,Trung
D01038,KH28,Quan jean,Thoi trang,6,34.9,2024-04-14,Nam
D01039,KH35,Quan jean,Thoi trang,6,35.0,2024-07-21,Trung
D01040,KH12,Noi com dien,Gia dung,2,60.2,2024-08-07,Nam
D01041,KH06,Tai nghe,Dien tu,2,49.5,2024-10-11,Bac
D01042,KH39,Sach Python,Sach,6,21.3,2024-10-25,Trung
D01043,KH31,May xay,Gia dung,1,38.8,2025-02-20,Bac
D01044,KH32,Noi com dien,Gia dung,10,58.6,2024-07-25,Trung
D01045,KH27,Tai nghe,Dien tu,1,48.3,2024-09-12,Bac
D01046,KH33,Quan jean,Thoi trang,3,36.5,2024-07-12,Nam
D01047,KH12,Ao thun,Thoi trang,8,12.4,2025-02-13,Trung
D01048,KH29,Ao thun,Thoi trang,10,11.4,2024-11-17,Bac
D01049,KH04,Ao thun,Thoi trang,7,11.3,2024-05-22,Nam
D01050,KH36,May xay,Gia dung,9,36.2,2024-06-14,Bac
D01051,KH31,Sach Spark,Sach,10,26.9,2024-08-12,Trung
D01052,KH24,Dien thoai,Dien tu,1,865.4,2024-07-26,Nam
D01053,KH31,Tai nghe,Dien tu,3,43.3,2024-05-31,Trung
D01054,KH21,Sach Python,Sach,10,19.1,2024-06-14,Bac
D01055,KH12,Tai nghe,Dien tu,3,48.1,2024-08-31,Bac
D01056,KH23,Dien thoai,Dien tu,3,863.5,2024-06-04,Nam
D01057,KH14,Quan jean,Thoi trang,3,36.8,2024-11-09,Bac
D01058,KH14,Sach Spark,Sach,2,25.4,2024-05-08,Bac
D01059,KH02,May xay,Gia dung,9,38.0,2024-03-31,Bac
D01060,KH40,Quan jean,Thoi trang,8,38.3,2024-04-30,Nam
D01061,KH24,Tai nghe,Dien tu,2,46.2,2024-03-11,Trung
D01062,KH21,Ao thun,Thoi trang,9,12.3,2024-06-11,Bac
D01063,KH01,Laptop,Dien tu,2,1576.7,2024-09-26,Nam
D01064,KH35,Laptop,Dien tu,2,1409.0,2024-08-06,Nam
D01065,KH33,Tai nghe,Dien tu,3,44.7,2024-08-18,Nam
D01066,KH31,May xay,Gia dung,8,38.8,2024-05-19,Nam
D01067,KH03,Sach Spark,Sach,4,23.6,2024-12-26,Bac
D01068,KH06,May xay,Gia dung,6,37.7,2024-07-24,Bac
D01069,KH27,Giay the thao,Thoi trang,7,64.9,2024-08-23,Nam
D01070,KH12,Ao thun,Thoi trang,11,11.3,2024-05-14,Bac
D01071,KH09,Noi com dien,Gia dung,5,58.6,2025-01-31,Trung
D01072,KH03,Quan jean,Thoi trang,11,34.4,2025-01-29,Bac
D01073,KH23,Sach Spark,Sach,4,27.3,2024-10-29,Trung
D01074,KH14,Sach Spark,Sach,4,24.3,2024-12-11,Nam
D01075,KH18,Giay the thao,Thoi trang,3,59.2,2024-09-15,Nam
D01076,KH35,Ao thun,Thoi trang,7,13.2,2024-06-18,Nam
D01077,KH09,Tai nghe,Dien tu,3,48.1,2024-04-22,Nam
D01078,KH32,Dien thoai,Dien tu,1,866.1,2024-05-01,Nam
D01079,KH32,Quan jean,Thoi trang,6,33.3,2024-09-16,Nam
D01080,KH10,Sach Python,Sach,2,21.3,2024-11-29,Nam
D01081,KH08,Sach Spark,Sach,4,24.0,2024-09-23,Nam
D01082,KH13,Quan jean,Thoi trang,10,34.8,2024-04-05,Trung
D01083,KH07,Quan jean,Thoi trang,4,33.8,2024-05-20,Nam
D01084,KH14,Giay the thao,Thoi trang,1,62.0,2024-12-07,Bac
D01085,KH36,Ao thun,Thoi trang,5,13.3,2024-07-12,Bac
D01086,KH24,Giay the thao,Thoi trang,10,56.8,2024-07-14,Nam
D01087,KH03,Tai nghe,Dien tu,2,48.2,2024-10-27,Trung
D01088,KH36,Tai nghe,Dien tu,1,41.2,2024-11-05,Bac
D01089,KH33,Sach Python,Sach,10,21.4,2025-02-01,Trung
D01090,KH15,Sach Spark,Sach,4,24.6,2025-02-08,Nam
D01091,KH37,Laptop,Dien tu,2,1502.3,2024-04-11,Bac
D01092,KH07,Giay the thao,Thoi trang,1,62.9,2024-04-05,Bac
D01093,KH40,Ao thun,Thoi trang,2,12.0,2024-07-16,Nam
D01094,KH18,Tai nghe,Dien tu,2,45.8,2024-07-11,Bac
D01095,KH17,Ao thun,Thoi trang,3,12.5,2024-08-20,Trung
D01096,KH31,May xay,Gia dung,11,40.7,2024-12-04,Bac
D01097,KH25,Laptop,Dien tu,3,1608.1,2024-08-11,Bac
D01098,KH40,Giay the thao,Thoi trang,1,61.4,2024-06-18,Nam
D01099,KH19,Dien thoai,Dien tu,2,852.3,2024-05-21,Bac
D01100,KH25,May xay,Gia dung,9,43.1,2024-05-05,Bac
D01101,KH40,Quan jean,Thoi trang,2,31.6,2025-01-10,Trung
D01102,KH13,Noi com dien,Gia dung,7,56.5,2024-07-20,Nam
D01103,KH29,Sach Python,Sach,11,20.7,2024-05-21,Nam
D01104,KH06,Tai nghe,Dien tu,1,48.3,2024-12-20,Bac
D01105,KH27,May xay,Gia dung,11,41.1,2024-09-20,Bac
D01106,KH36,Laptop,Dien tu,1,1500.9,2024-09-21,Nam
D01107,KH10,Ao thun,Thoi trang,8,12.5,2024-05-02,Nam
D01108,KH34,Sach Spark,Sach,6,23.8,2024-12-05,Bac
D01109,KH37,Noi com dien,Gia dung,3,54.9,2025-02-12,Bac
D01110,KH26,Giay the thao,Thoi trang,3,57.6,2024-09-15,Nam
D01111,KH37,Laptop,Dien tu,3,1397.9,2024-03-05,Nam
D01112,KH29,May xay,Gia dung,1,40.7,2024-03-15,Nam
D01113,KH10,May xay,Gia dung,9,40.2,2024-10-28,Bac
D01114,KH03,Tai nghe,Dien tu,2,48.5,2024-11-10,Nam
D01115,KH17,Laptop,Dien tu,1,1398.7,2024-10-03,Nam
D01116,KH05,Sach Spark,Sach,11,25.5,2024-05-05,Nam
D01117,KH02,Dien thoai,Dien tu,3,864.9,2024-09-14,Bac
D01118,KH06,Noi com dien,Gia dung,7,60.2,2024-07-31,Nam
D01119,KH14,Sach Spark,Sach,5,27.0,2024-03-22,Bac
D01120,KH14,Quan jean,Thoi trang,2,33.2,2024-11-19,Trung
D01121,KH27,Quan jean,Thoi trang,11,37.3,2025-01-30,Trung
D01122,KH03,Quan jean,Thoi trang,11,35.4,2024-04-25,Nam
D01123,KH28,Ao thun,Thoi trang,6,13.4,2025-02-03,Trung
D01124,KH32,Quan jean,Thoi trang,6,32.0,2025-01-19,Nam
D01125,KH31,Tai nghe,Dien tu,2,46.3,2024-03-04,Nam
D01126,KH11,Laptop,Dien tu,3,1567.0,2025-02-18,Nam
D01127,KH39,Laptop,Dien tu,3,1469.1,2024-10-05,Nam
D01128,KH04,Quan jean,Thoi trang,7,35.8,2024-12-30,Bac
D01129,KH33,May xay,Gia dung,8,36.8,2024-10-18,Trung
D01130,KH03,Tai nghe,Dien tu,3,45.8,2024-07-23,Nam
D01131,KH35,Sach Python,Sach,11,18.3,2024-09-05,Trung
D01132,KH36,Noi com dien,Gia dung,2,51.9,2024-03-29,Bac
D01133,KH02,Quan jean,Thoi trang,1,33.3,2025-02-11,Trung
D01134,KH22,Tai nghe,Dien tu,3,45.8,2025-02-20,Nam
D01135,KH27,Tai nghe,Dien tu,1,43.6,2024-03-26,Nam
D01136,KH18,Sach Spark,Sach,1,27.1,2024-09-12,Trung
D01137,KH39,Giay the thao,Thoi trang,11,55.3,2024-04-28,Bac
D01138,KH09,Tai nghe,Dien tu,1,44.3,2025-01-13,Nam
D01139,KH04,Ao thun,Thoi trang,1,11.3,2024-05-14,Bac
D01140,KH03,Noi com dien,Gia dung,3,59.0,2025-01-20,Trung
D01141,KH30,May xay,Gia dung,1,39.4,2025-02-08,Nam
D01142,KH40,Noi com dien,Gia dung,1,50.0,2025-02-11,Trung
D01143,KH24,Tai nghe,Dien tu,2,48.5,2024-05-17,Trung
D01144,KH17,Laptop,Dien tu,2,1434.7,2025-02-25,Bac
D01145,KH12,Noi com dien,Gia dung,10,55.9,2024-06-03,Nam
D01146,KH38,May xay,Gia dung,6,42.3,2025-02-07,Nam
D01147,KH14,Sach Python,Sach,8,19.4,2024-08-09,Trung
D01148,KH36,Sach Spark,Sach,6,26.1,2025-02-13,Trung
D01149,KH02,Tai nghe,Dien tu,3,41.6,2025-02-11,Bac
D01150,KH38,Ao thun,Thoi trang,4,12.7,2025-02-04,Trung
D01151,KH21,Sach Python,Sach,2,21.5,2024-11-03,Nam
D01152,KH39,Laptop,Dien tu,2,1400.8,2025-01-18,Bac
D01153,KH22,Laptop,Dien tu,3,1455.6,2024-12-11,Bac
D01154,KH17,Quan jean,Thoi trang,1,31.8,2024-09-22,Nam
D01155,KH11,Sach Python,Sach,5,21.5,2025-01-27,Nam
D01156,KH30,Quan jean,Thoi trang,4,34.0,2024-12-16,Bac
D01157,KH21,Dien thoai,Dien tu,2,824.7,2024-05-10,Trung
D01158,KH34,May xay,Gia dung,6,37.8,2024-06-04,Trung
D01159,KH32,Noi com dien,Gia dung,6,54.0,2025-01-05,Nam
D01160,KH12,Sach Spark,Sach,5,27.4,2024-12-30,Bac
D01161,KH26,Giay the thao,Thoi trang,3,58.1,2024-04-02,Trung
D01162,KH40,Ao thun,Thoi trang,4,11.4,2024-11-01,Trung
D01163,KH07,Laptop,Dien tu,2,1436.2,2024-11-29,Nam
D01164,KH10,Dien thoai,Dien tu,2,814.7,2024-03-29,Bac
D01165,KH34,Sach Python,Sach,10,21.7,2024-11-30,Bac
D01166,KH06,Sach Spark,Sach,1,24.7,2024-09-22,Bac
D01167,KH30,Dien thoai,Dien tu,1,765.1,2024-09-20,Bac
D01168,KH30,Giay the thao,Thoi trang,8,63.1,2024-09-13,Bac
D01169,KH15,Tai nghe,Dien tu,2,49.2,2024-12-12,Bac
D01170,KH17,Noi com dien,Gia dung,3,55.5,2024-08-27,Nam
D01171,KH15,Quan jean,Thoi trang,8,33.7,2024-09-30,Nam
D01172,KH20,Quan jean,Thoi trang,10,34.4,2024-12-26,Bac
D01173,KH14,Giay the thao,Thoi trang,6,56.7,2024-06-29,Trung
D01174,KH17,Sach Spark,Sach,4,25.0,2024-09-15,Nam
D01175,KH33,Giay the thao,Thoi trang,2,62.2,2024-07-25,Bac
D01176,KH28,Quan jean,Thoi trang,2,37.9,2024-08-22,Nam
D01177,KH29,Laptop,Dien tu,2,1513.8,2024-08-17,Nam
D01178,KH14,Ao thun,Thoi trang,3,12.1,2024-09-20,Nam
D01179,KH02,Laptop,Dien tu,2,1424.6,2025-01-20,Nam
D01180,KH08,May xay,Gia dung,3,42.1,2024-07-24,Bac
D01181,KH17,Tai nghe,Dien tu,1,41.4,2024-04-05,Bac
D01182,KH13,May xay,Gia dung,11,38.4,2024-09-25,Nam
D01183,KH18,Tai nghe,Dien tu,1,49.3,2024-05-07,Nam
D01184,KH35,Laptop,Dien tu,3,1588.8,2024-12-09,Bac
D01185,KH37,Dien thoai,Dien tu,1,877.9,2024-03-25,Bac
D01186,KH21,Noi com dien,Gia dung,2,53.7,2024-04-15,Trung
D01187,KH24,Ao thun,Thoi trang,11,11.4,2024-05-23,Bac
D01188,KH10,Giay the thao,Thoi trang,4,62.9,2025-01-14,Bac
D01189,KH21,Sach Spark,Sach,1,27.2,2024-11-27,Bac
D01190,KH28,Quan jean,Thoi trang,3,34.9,2025-01-05,Trung
D01191,KH16,Noi com dien,Gia dung,6,60.1,2024-07-16,Nam
D01192,KH37,May xay,Gia dung,1,39.8,2024-08-15,Nam
D01193,KH24,Quan jean,Thoi trang,9,36.9,2024-10-08,Nam
D01194,KH02,Laptop,Dien tu,2,1490.2,2024-09-06,Trung
D01195,KH27,Laptop,Dien tu,1,1513.3,2024-10-12,Trung
D01196,KH02,Laptop,Dien tu,3,1608.3,2024-05-15,Bac
D01197,KH17,Sach Python,Sach,8,18.0,2025-01-21,Nam
D01198,KH08,Tai nghe,Dien tu,2,49.0,2024-10-28,Nam
D01199,KH21,Sach Python,Sach,8,19.2,2024-10-31,Bac
D01200,KH17,Dien thoai,Dien tu,1,847.7,2024-10-30,Nam
D01201,KH13,Ao thun,Thoi trang,7,12.5,2024-05-14,Bac
D01202,KH14,Laptop,Dien tu,1,1455.4,2024-08-25,Trung
D01203,KH18,Sach Spark,Sach,8,27.1,2024-11-29,Nam
D01204,KH27,Tai nghe,Dien tu,2,46.1,2025-02-22,Trung
D01205,KH07,Quan jean,Thoi trang,7,32.0,2024-10-28,Nam
D01206,KH23,Tai nghe,Dien tu,2,47.2,2024-06-25,Nam
D01207,KH28,Laptop,Dien tu,3,1440.9,2024-05-02,Bac
D01208,KH06,Quan jean,Thoi trang,1,37.9,2024-05-22,Bac
D01209,KH40,Noi com dien,Gia dung,9,54.4,2024-07-14,Bac
D01210,KH04,Noi com dien,Gia dung,11,52.1,2024-10-16,Bac
D01211,KH24,Sach Python,Sach,2,20.7,2024-05-14,Bac
D01212,KH08,Sach Spark,Sach,5,27.0,2024-10-14,Trung
D01213,KH38,Sach Python,Sach,2,20.1,2024-05-14,Trung
D01214,KH04,Sach Spark,Sach,9,25.5,2024-12-10,Bac
D01215,KH33,May xay,Gia dung,9,37.1,2024-08-16,Nam
D01216,KH22,Tai nghe,Dien tu,3,40.6,2024-11-04,Nam
D01217,KH30,May xay,Gia dung,7,42.2,2024-04-15,Trung
D01218,KH40,May xay,Gia dung,8,39.9,2024-11-26,Nam
D01219,KH16,May xay,Gia dung,11,38.7,2024-04-05,Nam
D01220,KH09,May xay,Gia dung,9,41.3,2024-06-13,Trung
D01221,KH03,Ao thun,Thoi trang,6,13.0,2024-09-01,Nam
D01222,KH05,Tai nghe,Dien tu,2,41.6,2024-11-06,Nam
D01223,KH10,Noi com dien,Gia dung,6,50.8,2024-09-30,Nam
D01224,KH36,Giay the thao,Thoi trang,8,54.8,2025-02-24,Trung
D01225,KH34,Sach Spark,Sach,2,27.3,2024-04-30,Bac
D01226,KH28,Giay the thao,Thoi trang,3,59.6,2024-08-26,Bac
D01227,KH02,Quan jean,Thoi trang,11,34.6,2024-04-08,Bac
D01228,KH01,Tai nghe,Dien tu,2,42.6,2024-11-05,Bac
D01229,KH31,Dien thoai,Dien tu,1,722.3,2024-07-11,Nam
D01230,KH08,Dien thoai,Dien tu,3,753.5,2024-03-05,Nam
D01231,KH31,Tai nghe,Dien tu,3,48.1,2024-09-20,Nam
D01232,KH22,May xay,Gia dung,7,42.3,2025-01-23,Nam
D01233,KH26,Quan jean,Thoi trang,10,33.8,2024-07-23,Nam
D01234,KH26,Laptop,Dien tu,2,1428.3,2024-09-07,Bac
D01235,KH22,Giay the thao,Thoi trang,7,56.7,2024-09-29,Nam
D01236,KH38,Quan jean,Thoi trang,6,33.2,2024-04-06,Bac
D01237,KH31,Laptop,Dien tu,1,1529.8,2024-10-31,Bac
D01238,KH29,Laptop,Dien tu,3,1508.8,2024-09-09,Trung
D01239,KH21,Giay the thao,Thoi trang,9,56.9,2025-01-01,Bac
D01240,KH29,Dien thoai,Dien tu,1,760.8,2024-07-02,Trung
D01241,KH40,May xay,Gia dung,8,39.9,2024-03-14,Nam
D01242,KH27,Quan jean,Thoi trang,3,35.5,2024-08-16,Bac
D01243,KH07,Sach Python,Sach,5,20.7,2025-01-15,Bac
D01244,KH02,Sach Spark,Sach,1,23.4,2024-06-26,Trung
D01245,KH11,Tai nghe,Dien tu,3,45.5,2025-01-12,Bac
D01246,KH13,Giay the thao,Thoi trang,7,54.2,2024-05-07,Bac
D01247,KH09,Ao thun,Thoi trang,9,12.7,2025-01-28,Bac
D01248,KH37,Sach Python,Sach,6,20.1,2024-07-24,Trung
D01249,KH22,Tai nghe,Dien tu,1,48.0,2024-09-04,Bac
D01250,KH03,Laptop,Dien tu,2,1620.4,2024-06-14,Trung
D01251,KH15,Sach Python,Sach,1,18.9,2024-05-11,Bac
D01252,KH25,Tai nghe,Dien tu,1,46.9,2024-10-27,Nam
D01253,KH31,Quan jean,Thoi trang,11,35.1,2025-01-04,Bac
D01254,KH10,Laptop,Dien tu,2,1576.0,2024-06-12,Nam
D01255,KH15,Tai nghe,Dien tu,1,45.2,2025-01-18,Nam
D01256,KH22,Quan jean,Thoi trang,7,37.5,2024-10-01,Nam
D01257,KH28,Giay the thao,Thoi trang,3,63.2,2024-09-29,Bac
D01258,KH25,Quan jean,Thoi trang,4,32.2,2024-11-09,Trung
D01259,KH07,Laptop,Dien tu,1,1444.1,2024-03-31,Nam
D01260,KH23,Dien thoai,Dien tu,1,730.6,2024-08-05,Bac
D01261,KH22,Ao thun,Thoi trang,11,13.0,2024-06-17,Trung
D01262,KH17,Giay the thao,Thoi trang,3,55.9,2024-10-10,Nam
D01263,KH11,Ao thun,Thoi trang,7,12.8,2024-11-03,Nam
D01264,KH20,Sach Spark,Sach,3,27.5,2024-04-20,Nam
D01265,KH17,Tai nghe,Dien tu,1,41.9,2024-04-19,Bac
D01266,KH09,Tai nghe,Dien tu,2,42.0,2024-11-05,Bac
D01267,KH32,Tai nghe,Dien tu,2,42.0,2024-05-20,Trung
D01268,KH17,Noi com dien,Gia dung,10,56.4,2024-08-10,Trung
D01269,KH09,Dien thoai,Dien tu,1,737.6,2024-12-03,Nam
D01270,KH33,Sach Python,Sach,6,21.7,2024-06-11,Bac
D01271,KH22,Laptop,Dien tu,3,1514.5,2024-11-07,Bac
D01272,KH39,Noi com dien,Gia dung,5,58.3,2024-06-08,Nam
D01273,KH10,Quan jean,Thoi trang,9,36.1,2024-06-06,Nam
D01274,KH40,Noi com dien,Gia dung,11,53.4,2024-07-04,Trung
D01275,KH11,Dien thoai,Dien tu,3,757.8,2024-04-25,Trung
D01276,KH15,May xay,Gia dung,4,38.3,2024-10-09,Bac
D01277,KH30,May xay,Gia dung,9,39.3,2024-03-28,Bac
D01278,KH17,Laptop,Dien tu,3,1424.5,2024-12-16,Nam
D01279,KH33,Ao thun,Thoi trang,5,12.1,2024-09-04,Bac
D01280,KH14,Noi com dien,Gia dung,11,59.3,2025-02-28,Bac
D01281,KH35,May xay,Gia dung,6,39.1,2025-02-28,Trung
D01282,KH12,Giay the thao,Thoi trang,7,60.1,2024-05-15,Trung
D01283,KH36,Sach Spark,Sach,5,22.7,2025-02-22,Bac
D01284,KH11,Tai nghe,Dien tu,2,41.5,2024-08-25,Bac
D01285,KH10,Laptop,Dien tu,3,1428.9,2024-05-30,Bac
D01286,KH31,Dien thoai,Dien tu,1,779.7,2024-10-21,Bac
D01287,KH34,Sach Python,Sach,1,19.0,2024-06-29,Nam
D01288,KH12,Noi com dien,Gia dung,2,56.3,2024-11-17,Trung
D01289,KH34,Sach Spark,Sach,2,26.5,2025-01-09,Nam
D01290,KH18,Ao thun,Thoi trang,6,11.4,2024-03-05,Nam
D01291,KH15,Noi com dien,Gia dung,3,53.4,2025-02-02,Nam
D01292,KH02,Tai nghe,Dien tu,2,43.4,2024-05-21,Nam
D01293,KH11,Ao thun,Thoi trang,5,11.6,2024-04-07,Bac
D01294,KH15,Sach Spark,Sach,6,22.9,2025-01-23,Trung
D01295,KH28,Tai nghe,Dien tu,3,49.4,2025-02-05,Trung
D01296,KH26,Sach Spark,Sach,5,26.4,2025-02-27,Nam
D01297,KH10,Tai nghe,Dien tu,2,41.9,2025-02-03,Nam
D01298,KH25,Sach Spark,Sach,10,23.5,2024-09-18,Trung
D01299,KH30,May xay,Gia dung,1,41.9,2025-02-10,Bac
D01300,KH10,Sach Python,Sach,4,18.5,2024-07-12,Bac
D01301,KH15,Laptop,Dien tu,2,1549.3,2024-07-01,Bac
D01302,KH32,Noi com dien,Gia dung,6,52.5,2024-06-14,Nam
D01303,KH40,Sach Spark,Sach,1,25.3,2024-03-03,Nam
D01304,KH38,Sach Python,Sach,2,21.5,2025-01-30,Bac
D01305,KH03,Giay the thao,Thoi trang,2,62.3,2024-11-17,Bac
D01306,KH10,Laptop,Dien tu,2,1634.6,2024-03-02,Bac
D01307,KH09,Giay the thao,Thoi trang,10,57.5,2025-01-20,Trung
D01308,KH15,Sach Python,Sach,9,20.8,2024-05-01,Nam
D01309,KH22,Giay the thao,Thoi trang,1,64.5,2025-02-04,Nam
D01310,KH22,Quan jean,Thoi trang,8,33.2,2024-08-31,Trung
D01311,KH34,Quan jean,Thoi trang,3,37.2,2024-12-01,Bac
D01312,KH07,Dien thoai,Dien tu,1,762.9,2024-09-30,Nam
D01313,KH38,Tai nghe,Dien tu,1,48.0,2024-06-22,Trung
D01314,KH13,Ao thun,Thoi trang,1,12.0,2024-04-13,Trung
D01315,KH36,Quan jean,Thoi trang,3,34.1,2024-10-10,Bac
D01316,KH01,Giay the thao,Thoi trang,2,63.7,2024-10-26,Nam
D01317,KH27,Giay the thao,Thoi trang,10,64.1,2024-09-30,Trung
D01318,KH05,Sach Spark,Sach,1,24.4,2024-07-21,Nam
D01319,KH09,Ao thun,Thoi trang,7,11.6,2024-06-24,Nam
D01320,KH07,Quan jean,Thoi trang,9,35.7,2024-08-03,Bac
D01321,KH17,Sach Python,Sach,7,19.2,2024-05-16,Trung
D01322,KH39,Dien thoai,Dien tu,1,743.2,2024-12-10,Nam
D01323,KH32,Ao thun,Thoi trang,3,13.5,2024-03-14,Trung
D01324,KH22,Quan jean,Thoi trang,5,33.2,2024-05-21,Nam
D01325,KH19,Dien thoai,Dien tu,3,782.5,2025-02-04,Nam
D01326,KH27,Ao thun,Thoi trang,5,13.7,2024-11-09,Bac
D01327,KH34,Sach Spark,Sach,6,23.3,2024-07-20,Nam
D01328,KH13,Sach Spark,Sach,7,26.5,2024-12-03,Trung
D01329,KH10,Ao thun,Thoi trang,10,12.3,2024-08-10,Nam
D01330,KH39,May xay,Gia dung,10,41.0,2024-10-24,Bac
D01331,KH22,Tai nghe,Dien tu,1,44.4,2024-03-09,Nam
D01332,KH31,Sach Python,Sach,3,19.0,2024-07-03,Bac
D01333,KH40,Sach Spark,Sach,7,26.2,2024-12-17,Bac
D01334,KH17,Sach Python,Sach,7,21.5,2024-11-03,Nam
D01335,KH02,Noi com dien,Gia dung,5,55.6,2024-07-25,Nam
D01336,KH20,Giay the thao,Thoi trang,4,61.4,2024-06-01,Bac
D01337,KH38,Dien thoai,Dien tu,3,749.3,2024-07-31,Trung
D01338,KH05,Laptop,Dien tu,2,1498.5,2024-06-10,Nam
D01339,KH29,Laptop,Dien tu,3,1637.8,2024-09-11,Bac
D01340,KH03,Quan jean,Thoi trang,11,37.7,2024-11-14,Nam
D01341,KH04,Sach Python,Sach,8,20.2,2025-01-12,Nam
D01342,KH01,May xay,Gia dung,9,40.0,2024-05-29,Bac
D01343,KH01,Tai nghe,Dien tu,3,48.3,2024-10-29,Bac
D01344,KH20,Laptop,Dien tu,1,1377.7,2024-08-03,Trung
D01345,KH28,Giay the thao,Thoi trang,3,65.1,2024-08-31,Nam
D01346,KH39,Sach Python,Sach,7,19.8,2024-12-26,Trung
D01347,KH07,May xay,Gia dung,10,40.0,2025-01-03,Trung
D01348,KH02,May xay,Gia dung,9,43.8,2024-04-04,Bac
D01349,KH24,May xay,Gia dung,9,37.8,2025-02-02,Trung
D01350,KH01,Dien thoai,Dien tu,2,782.9,2024-03-27,Nam
D01351,KH19,Sach Python,Sach,1,19.9,2024-03-28,Bac
D01352,KH33,Sach Spark,Sach,9,27.3,2024-10-17,Trung
D01353,KH16,Tai nghe,Dien tu,1,49.2,2024-10-04,Bac
D01354,KH14,Quan jean,Thoi trang,4,32.9,2024-04-29,Nam
D01355,KH35,Dien thoai,Dien tu,3,821.2,2024-09-19,Bac
D01356,KH38,Quan jean,Thoi trang,11,37.8,2024-08-12,Bac
D01357,KH22,Ao thun,Thoi trang,8,11.3,2024-06-11,Nam
D01358,KH06,Noi com dien,Gia dung,7,59.0,2024-12-16,Bac
D01359,KH31,Quan jean,Thoi trang,6,35.4,2025-02-16,Bac
D01360,KH33,Quan jean,Thoi trang,6,32.1,2024-08-17,Trung
D01361,KH13,Quan jean,Thoi trang,9,32.5,2025-02-19,Bac
D01362,KH25,Giay the thao,Thoi trang,8,55.6,2025-01-17,Bac
D01363,KH27,Ao thun,Thoi trang,7,13.7,2024-04-06,Nam
D01364,KH05,Tai nghe,Dien tu,3,43.1,2024-04-14,Nam
D01365,KH18,May xay,Gia dung,11,39.0,2025-02-12,Nam
D01366,KH15,Noi com dien,Gia dung,7,53.6,2024-08-14,Bac
D01367,KH05,Quan jean,Thoi trang,5,33.3,2024-06-02,Bac
D01368,KH14,Dien thoai,Dien tu,1,838.4,2024-11-25,Nam
D01369,KH04,Giay the thao,Thoi trang,6,64.9,2024-11-24,Nam
D01370,KH31,Noi com dien,Gia dung,7,51.8,2024-08-09,Trung
D01371,KH19,Sach Spark,Sach,9,25.8,2024-10-13,Nam
D01372,KH23,Noi com dien,Gia dung,7,53.3,2024-10-01,Bac
D01373,KH32,Laptop,Dien tu,2,1457.6,2024-03-14,Nam
D01374,KH12,Ao thun,Thoi trang,4,13.7,2024-06-25,Trung
