ma_gd,ma_kh,so_tien,trang_thai,thoi_gian
GD000877,KH00979,1277000.0,THAT BAI,2026-01-08 15:45:00
GD000878,KH02357,247000.0,THAT BAI,2026-01-08 16:05:00
GD000879,KH00509,169000.0,THANH CONG,2026-01-08 16:15:00
GD000880,KH00819,157000.0,THANH CONG,2026-01-08 16:15:00
GD000881,KH01288,131000.0,THANH CONG,2026-01-08 16:24:00
GD000882,KH02821,326000.0,THANH CONG,2026-01-08 16:28:00
GD000883,KH02969,425000.0,THANH CONG,2026-01-08 16:36:00
GD000884,KH02667,1755000.0,THANH CONG,2026-01-08 16:43:00
GD000885,KH02783,169000.0,THANH CONG,2026-01-08 16:54:00
GD000886,KH00506,583000.0,THANH CONG,2026-01-08 17:14:00
GD000887,KH00717,183000.0,THANH CONG,2026-01-08 17:35:00
GD000888,KH01676,424000.0,THANH CONG,2026-01-08 17:39:00
GD000889,KH01227,45000.0,THANH CONG,2026-01-08 18:03:00
GD000890,KH01835,600000.0,THANH CONG,2026-01-08 18:39:00
GD000891,KH02296,136000.0,THANH CONG,2026-01-08 18:44:00
GD000892,KH00202,695000.0,THANH CONG,2026-01-08 18:56:00
GD000893,KH01754,458000.0,THANH CONG,2026-01-08 19:06:00
GD000894,KH02035,570000.0,THANH CONG,2026-01-08 19:30:00
GD000895,KH00408,949000.0,THANH CONG,2026-01-08 19:51:00
GD000896,KH01937,579000.0,THAT BAI,2026-01-08 20:03:00
GD000897,KH01426,1595000.0,CHO XU LY,2026-01-08 20:16:00
GD000898,KH02551,1051000.0,THANH CONG,2026-01-08 20:42:00
GD000899,KH00329,444000.0,THANH CONG,2026-01-08 20:48:00
GD000900,KH00197,625000.0,CHO XU LY,2026-01-08 20:56:00
GD000901,KH00323,990000.0,THANH CONG,2026-01-08 21:06:00
GD000902,KH00199,835000.0,THANH CONG,2026-01-08 21:31:00
GD000903,KH02108,979000.0,THANH CONG,2026-01-08 21:55:00
GD000904,KH01124,489000.0,THANH CONG,2026-01-08 22:01:00
GD000905,KH02788,750000.0,THANH CONG,2026-01-08 22:04:00
GD000906,KH00051,630000.0,THANH CONG,2026-01-08 22:29:00
GD000907,KH00949,577000.0,THANH CONG,2026-01-08 22:34:00
GD000908,KH01362,1411000.0,THANH CONG,2026-01-08 23:34:00
GD000909,KH02552,894000.0,THANH CONG,2026-01-08 23:39:00
GD000910,KH00468,515000.0,THANH CONG,2026-01-08 23:49:00
GD000911,KH02619,87000.0,THANH CONG,2026-01-08 23:55:00
GD000912,KH00926,68000.0,THANH CONG,2026-01-09 00:10:00
GD000913,KH02970,207000.0,THANH CONG,2026-01-09 00:13:00
GD000914,KH02452,552000.0,THANH CONG,2026-01-09 00:13:00
GD000915,KH01050,685000.0,THANH CONG,2026-01-09 00:26:00
GD000916,KH01636,1005000.0,THANH CONG,2026-01-09 00:59:00
GD000917,KH00394,1684000.0,THANH CONG,2026-01-09 01:13:00
GD000918,KH02882,4280000.0,THANH CONG,2026-01-09 01:54:00
GD000919,KH00307,530000.0,THANH CONG,2026-01-09 02:01:00
GD000920,KH01137,319000.0,THANH CONG,2026-01-09 02:02:00
GD000921,KH00425,874000.0,CHO XU LY,2026-01-09 02:04:00
GD000922,KH02706,845000.0,THANH CONG,2026-01-09 02:10:00
GD000923,KH02924,568000.0,THANH CONG,2026-01-09 03:31:00
GD000924,KH01636,824000.0,THAT BAI,2026-01-09 03:32:00
GD000925,KH01405,768000.0,THAT BAI,2026-01-09 03:33:00
GD000926,KH01329,832000.0,THANH CONG,2026-01-09 04:09:00
GD000927,KH01373,299000.0,THANH CONG,2026-01-09 04:17:00
GD000928,KH02171,265000.0,THAT BAI,2026-01-09 04:33:00
GD000929,KH01673,427000.0,THANH CONG,2026-01-09 04:39:00
GD000930,KH00903,260000.0,THANH CONG,2026-01-09 04:58:00
GD000931,KH00193,841000.0,THANH CONG,2026-01-09 05:20:00
GD000932,KH02734,250000.0,THANH CONG,2026-01-09 05:38:00
GD000933,KH00849,406000.0,THANH CONG,2026-01-09 05:59:00
GD000934,KH01788,1418000.0,THANH CONG,2026-01-09 06:18:00
GD000935,KH02220,664000.0,THANH CONG,2026-01-09 06:49:00
GD000936,KH00411,213000.0,THANH CONG,2026-01-09 07:04:00
GD000937,KH02891,427000.0,THANH CONG,2026-01-09 07:13:00
GD000938,KH00976,79000.0,THAT BAI,2026-01-09 07:19:00
GD000939,KH01016,440000.0,THANH CONG,2026-01-09 07:28:00
GD000940,KH01816,156000.0,THANH CONG,2026-01-09 07:40:00
GD000941,KH02281,334000.0,THANH CONG,2026-01-09 07:48:00
GD000942,KH02713,844000.0,THANH CONG,2026-01-09 07:50:00
GD000943,KH00794,555000.0,THANH CONG,2026-01-09 08:47:00
GD000944,KH02988,474000.0,THANH CONG,2026-01-09 08:51:00
GD000945,KH02642,233000.0,THAT BAI,2026-01-09 08:55:00
GD000946,KH01080,1039000.0,THANH CONG,2026-01-09 09:12:00
GD000947,KH01701,822000.0,THANH CONG,2026-01-09 09:13:00
GD000948,KH00112,1284000.0,THANH CONG,2026-01-09 10:05:00
GD000949,KH02225,398000.0,THAT BAI,2026-01-09 10:10:00
GD000950,KH00831,624000.0,THANH CONG,2026-01-09 10:12:00
GD000951,KH02322,378000.0,THANH CONG,2026-01-09 10:20:00
GD000952,KH00796,265000.0,THANH CONG,2026-01-09 10:41:00
GD000953,KH01958,415000.0,THANH CONG,2026-01-09 10:48:00
GD000954,KH00484,391000.0,THANH CONG,2026-01-09 10:52:00
GD000955,KH01589,3767000.0,THANH CONG,2026-01-09 11:01:00
GD000956,KH02940,1531000.0,THANH CONG,2026-01-09 11:54:00
GD000957,KH01306,815000.0,THAT BAI,2026-01-09 12:11:00
GD000958,KH02684,668000.0,THAT BAI,2026-01-09 12:22:00
GD000959,KH00861,39000.0,THANH CONG,2026-01-09 12:32:00
GD000960,KH00960,648000.0,THANH CONG,2026-01-09 12:58:00
GD000961,KH01829,183000.0,THANH CONG,2026-01-09 13:15:00
GD000962,KH00168,409000.0,THANH CONG,2026-01-09 13:52:00
GD000963,KH01363,335000.0,THANH CONG,2026-01-09 14:06:00
GD000964,KH02273,790000.0,THANH CONG,2026-01-09 14:11:00
GD000965,KH01355,647000.0,THANH CONG,2026-01-09 14:27:00
GD000966,KH01629,526000.0,THANH CONG,2026-01-09 14:34:00
GD000967,KH02809,750000.0,THANH CONG,2026-01-09 14:37:00
GD000968,KH02367,673000.0,THANH CONG,2026-01-09 14:44:00
GD000969,KH01876,179000.0,THANH CONG,2026-01-09 15:15:00
GD000970,KH01468,350000.0,THANH CONG,2026-01-09 15:15:00
GD000971,KH01654,950000.0,CHO XU LY,2026-01-09 15:16:00
GD000972,KH00325,308000.0,THANH CONG,2026-01-09 15:37:00
GD000973,KH01171,688000.0,THAT BAI,2026-01-09 15:39:00
GD000974,KH02277,1279000.0,THANH CONG,2026-01-09 15:54:00
GD000975,KH00695,257000.0,THANH CONG,2026-01-09 15:57:00
GD000976,KH01926,212000.0,THANH CONG,2026-01-09 15:57:00
GD000977,KH02355,232000.0,THANH CONG,2026-01-09 16:03:00
GD000978,KH01574,357000.0,CHO XU LY,2026-01-09 16:12:00
GD000979,KH02167,101000.0,THANH CONG,2026-01-09 16:17:00
GD000980,KH00196,774000.0,THANH CONG,2026-01-09 16:23:00
GD000981,KH00030,566000.0,THANH CONG,2026-01-09 16:57:00
GD000982,KH01670,550000.0,THANH CONG,2026-01-09 17:30:00
GD000983,KH02556,576000.0,THANH CONG,2026-01-09 17:32:00
GD000984,KH01177,344000.0,THANH CONG,2026-01-09 17:41:00
GD000985,KH01072,710000.0,THANH CONG,2026-01-09 17:48:00
GD000986,KH01346,622000.0,THANH CONG,2026-01-09 17:54:00
GD000987,KH01214,665000.0,THANH CONG,2026-01-09 18:10:00
GD000988,KH01616,121000.0,THANH CONG,2026-01-09 18:11:00
GD000989,KH02496,266000.0,THANH CONG,2026-01-09 18:11:00
GD000990,KH00910,483000.0,THANH CONG,2026-01-09 18:13:00
GD000991,KH01332,164000.0,THANH CONG,2026-01-09 18:14:00
GD000992,KH02521,1886000.0,THANH CONG,2026-01-09 18:16:00
GD000993,KH01107,87000.0,THANH CONG,2026-01-09 18:29:00
GD000994,KH02107,140000.0,THANH CONG,2026-01-09 18:41:00
GD000995,KH02631,885000.0,THANH CONG,2026-01-09 18:48:00
GD000996,KH01097,243000.0,THANH CONG,2026-01-09 18:54:00
GD000997,KH01155,547000.0,THANH CONG,2026-01-09 19:19:00
GD000998,KH00456,283000.0,THANH CONG,2026-01-09 19:41:00
GD000999,KH01764,295000.0,THANH CONG,2026-01-09 19:57:00
GD001000,KH02782,111000.0,THANH CONG,2026-01-09 20:03:00
GD001001,KH00432,325000.0,THANH CONG,2026-01-09 20:22:00
GD001002,KH01006,1938000.0,THANH CONG,2026-01-09 20:33:00
GD001003,KH00232,175000.0,THANH CONG,2026-01-09 20:36:00
GD001004,KH01447,886000.0,THANH CONG,2026-01-09 20:44:00
GD001005,KH01996,230000.0,THANH CONG,2026-01-09 21:20:00
GD001006,KH00190,493000.0,THANH CONG,2026-01-09 21:21:00
GD001007,KH01960,99000.0,THANH CONG,2026-01-09 22:26:00
GD001008,KH01425,419000.0,THANH CONG,2026-01-09 22:28:00
GD001009,KH01689,503000.0,THANH CONG,2026-01-09 22:29:00
GD001010,KH01266,233000.0,THANH CONG,2026-01-09 22:31:00
GD001011,KH02357,748000.0,THANH CONG,2026-01-09 23:04:00
GD001012,KH01683,1570000.0,THANH CONG,2026-01-09 23:24:00
GD001013,KH00508,284000.0,THANH CONG,2026-01-09 23:48:00
GD001014,KH02330,764000.0,THANH CONG,2026-01-10 00:17:00
GD001015,KH00070,123000.0,THANH CONG,2026-01-10 00:29:00
GD001016,KH01263,249000.0,THANH CONG,2026-01-10 00:36:00
GD001017,KH00449,765000.0,THANH CONG,2026-01-10 00:39:00
GD001018,KH02357,682000.0,THANH CONG,2026-01-10 00:56:00
GD001019,KH00791,852000.0,THANH CONG,2026-01-10 01:04:00
GD001020,KH00823,442000.0,THANH CONG,2026-01-10 01:16:00
GD001021,KH01303,785000.0,THANH CONG,2026-01-10 01:20:00
GD001022,KH01518,341000.0,THANH CONG,2026-01-10 01:24:00
GD001023,KH00749,168000.0,THANH CONG,2026-01-10 02:12:00
GD001024,KH00886,98000.0,THANH CONG,2026-01-10 02:35:00
GD001025,KH01461,935000.0,THANH CONG,2026-01-10 02:50:00
GD001026,KH02116,803000.0,THANH CONG,2026-01-10 03:08:00
GD001027,KH02150,118000.0,THANH CONG,2026-01-10 03:12:00
GD001028,KH01557,409000.0,THANH CONG,2026-01-10 03:18:00
GD001029,KH01045,218000.0,THANH CONG,2026-01-10 03:38:00
GD001030,KH01559,119000.0,THANH CONG,2026-01-10 03:52:00
GD001031,KH01260,219000.0,THANH CONG,2026-01-10 03:58:00
GD001032,KH02348,1632000.0,THANH CONG,2026-01-10 04:23:00
GD001033,KH01033,1165000.0,THANH CONG,2026-01-10 04:47:00
GD001034,KH00888,833000.0,THAT BAI,2026-01-10 05:09:00
GD001035,KH01030,223000.0,THANH CONG,2026-01-10 05:29:00
GD001036,KH02080,907000.0,THANH CONG,2026-01-10 05:36:00
GD001037,KH01577,448000.0,THANH CONG,2026-01-10 05:37:00
GD001038,KH02568,208000.0,THANH CONG,2026-01-10 05:47:00
GD001039,KH00526,263000.0,THANH CONG,2026-01-10 05:51:00
GD001040,KH01624,240000.0,THANH CONG,2026-01-10 06:00:00
GD001041,KH01627,287000.0,THANH CONG,2026-01-10 06:32:00
GD001042,KH02183,361000.0,THAT BAI,2026-01-10 06:33:00
GD001043,KH02109,592000.0,THANH CONG,2026-01-10 06:36:00
GD001044,KH01296,613000.0,THANH CONG,2026-01-10 06:36:00
GD001045,KH01172,438000.0,THANH CONG,2026-01-10 06:52:00
GD001046,KH00946,626000.0,THANH CONG,2026-01-10 06:58:00
GD001047,KH00274,1146000.0,THANH CONG,2026-01-10 07:07:00
GD001048,KH01555,454000.0,THANH CONG,2026-01-10 07:38:00
GD001049,KH01455,164000.0,THAT BAI,2026-01-10 07:53:00
GD001050,KH00702,893000.0,THANH CONG,2026-01-10 08:26:00
GD001051,KH02293,188000.0,THANH CONG,2026-01-10 08:33:00
GD001052,KH02784,70000.0,THANH CONG,2026-01-10 08:38:00
GD001053,KH00078,335000.0,THANH CONG,2026-01-10 08:42:00
GD001054,KH01351,1051000.0,THANH CONG,2026-01-10 09:04:00
GD001055,KH01413,180000.0,THANH CONG,2026-01-10 09:05:00
GD001056,KH02555,432000.0,THAT BAI,2026-01-10 09:08:00
GD001057,KH02227,300000.0,THANH CONG,2026-01-10 09:18:00
GD001058,KH00700,249000.0,THAT BAI,2026-01-10 09:48:00
GD001059,KH01003,301000.0,THAT BAI,2026-01-10 09:51:00
GD001060,KH02089,955000.0,THANH CONG,2026-01-10 09:54:00
GD001061,KH01558,126000.0,THANH CONG,2026-01-10 09:55:00
GD001062,KH01164,827000.0,THAT BAI,2026-01-10 10:03:00
GD001063,KH00090,94000.0,THANH CONG,2026-01-10 10:05:00
GD001064,KH01024,654000.0,THAT BAI,2026-01-10 10:07:00
GD001065,KH02247,2972000.0,THANH CONG,2026-01-10 10:42:00
GD001066,KH00547,216000.0,THAT BAI,2026-01-10 10:46:00
GD001067,KH02206,259000.0,THANH CONG,2026-01-10 10:51:00
GD001068,KH02725,431000.0,CHO XU LY,2026-01-10 10:55:00
GD001069,KH00490,210000.0,THANH CONG,2026-01-10 11:24:00
GD001070,KH02963,166000.0,THANH CONG,2026-01-10 11:25:00
GD001071,KH01957,1332000.0,THAT BAI,2026-01-10 11:26:00
GD001072,KH02056,210000.0,CHO XU LY,2026-01-10 11:29:00
GD001073,KH01415,1030000.0,THANH CONG,2026-01-10 11:32:00
GD001074,KH00650,142000.0,THANH CONG,2026-01-10 11:47:00
GD001075,KH01444,677000.0,THANH CONG,2026-01-10 11:49:00
GD001076,KH01111,645000.0,THANH CONG,2026-01-10 11:50:00
GD001077,KH01652,2085000.0,THAT BAI,2026-01-10 12:32:00
GD001078,KH01486,1321000.0,THANH CONG,2026-01-10 12:43:00
GD001079,KH02685,519000.0,THANH CONG,2026-01-10 12:54:00
GD001080,KH01270,167000.0,THANH CONG,2026-01-10 13:04:00
GD001081,KH01075,31000.0,THAT BAI,2026-01-10 13:24:00
GD001082,KH00765,224000.0,THANH CONG,2026-01-10 13:55:00
GD001083,KH01354,472000.0,THANH CONG,2026-01-10 14:43:00
GD001084,KH01882,247000.0,THANH CONG,2026-01-10 15:00:00
GD001085,KH01109,703000.0,THANH CONG,2026-01-10 15:02:00
GD001086,KH01906,2080000.0,THANH CONG,2026-01-10 15:19:00
GD001087,KH01759,1435000.0,THANH CONG,2026-01-10 15:33:00
GD001088,KH01327,176000.0,THAT BAI,2026-01-10 16:19:00
GD001089,KH00806,239000.0,THANH CONG,2026-01-10 16:28:00
GD001090,KH00569,69000.0,THANH CONG,2026-01-10 16:50:00
GD001091,KH00740,532000.0,THANH CONG,2026-01-10 17:03:00
GD001092,KH00986,208000.0,THAT BAI,2026-01-10 18:04:00
GD001093,KH02282,472000.0,THANH CONG,2026-01-10 18:12:00
GD001094,KH02347,1294000.0,THANH CONG,2026-01-10 18:29:00
GD001095,KH02171,61000.0,THANH CONG,2026-01-10 18:52:00
GD001096,KH02666,1121000.0,THANH CONG,2026-01-10 18:58:00
GD001097,KH01147,125000.0,THANH CONG,2026-01-10 19:32:00
GD001098,KH01699,411000.0,THANH CONG,2026-01-10 19:37:00
GD001099,KH02481,260000.0,CHO XU LY,2026-01-10 19:37:00
GD001100,KH01724,398000.0,THANH CONG,2026-01-10 19:54:00
GD001101,KH02540,363000.0,THANH CONG,2026-01-10 20:01:00
GD001102,KH02973,405000.0,THANH CONG,2026-01-10 20:24:00
GD001103,KH00601,130000.0,THANH CONG,2026-01-10 20:31:00
GD001104,KH02661,1425000.0,THAT BAI,2026-01-10 20:49:00
GD001105,KH02226,772000.0,THANH CONG,2026-01-10 21:00:00
GD001106,KH00693,1217000.0,THAT BAI,2026-01-10 21:02:00
GD001107,KH02985,1145000.0,THANH CONG,2026-01-10 21:06:00
GD001108,KH02496,254000.0,THANH CONG,2026-01-10 21:22:00
GD001109,KH00836,144000.0,THAT BAI,2026-01-10 21:50:00
GD001110,KH02678,460000.0,THANH CONG,2026-01-10 21:52:00
GD001111,KH02650,582000.0,THANH CONG,2026-01-10 22:02:00
GD001112,KH00526,169000.0,THANH CONG,2026-01-10 22:10:00
GD001113,KH02620,830000.0,THAT BAI,2026-01-10 22:18:00
GD001114,KH01228,323000.0,THANH CONG,2026-01-10 22:18:00
GD001115,KH02359,165000.0,THANH CONG,2026-01-10 22:43:00
GD001116,KH01304,188000.0,THANH CONG,2026-01-10 22:44:00
GD001117,KH02496,136000.0,THANH CONG,2026-01-10 22:53:00
GD001118,KH02243,1063000.0,THANH CONG,2026-01-10 23:01:00
GD001119,KH01267,180000.0,THANH CONG,2026-01-10 23:53:00
GD001120,KH02427,618000.0,THANH CONG,2026-01-11 00:01:00
GD001121,KH01853,925000.0,THANH CONG,2026-01-11 00:01:00
GD001122,KH00467,962000.0,THANH CONG,2026-01-11 00:06:00
GD001123,KH01872,472000.0,THANH CONG,2026-01-11 00:17:00
GD001124,KH02899,809000.0,THANH CONG,2026-01-11 00:31:00
GD001125,KH00202,181000.0,THANH CONG,2026-01-11 00:38:00
GD001126,KH00805,212000.0,THANH CONG,2026-01-11 00:44:00
GD001127,KH00951,351000.0,THANH CONG,2026-01-11 00:46:00
GD001128,KH00925,88000.0,THANH CONG,2026-01-11 00:51:00
GD001129,KH00249,2256000.0,THANH CONG,2026-01-11 00:52:00
GD001130,KH02100,131000.0,THANH CONG,2026-01-11 00:53:00
GD001131,KH01422,83000.0,THANH CONG,2026-01-11 01:23:00
GD001132,KH00370,727000.0,THANH CONG,2026-01-11 02:05:00
GD001133,KH02789,984000.0,THANH CONG,2026-01-11 02:27:00
GD001134,KH00805,268000.0,THAT BAI,2026-01-11 02:35:00
GD001135,KH00655,168000.0,THANH CONG,2026-01-11 02:43:00
GD001136,KH00033,394000.0,THANH CONG,2026-01-11 03:06:00
GD001137,KH01520,630000.0,THANH CONG,2026-01-11 03:20:00
GD001138,KH00677,278000.0,THANH CONG,2026-01-11 03:24:00
GD001139,KH01398,152000.0,THANH CONG,2026-01-11 03:28:00
GD001140,KH02586,2086000.0,THAT BAI,2026-01-11 03:43:00
GD001141,KH01976,82000.0,THANH CONG,2026-01-11 04:01:00
GD001142,KH02015,460000.0,THANH CONG,2026-01-11 04:08:00
GD001143,KH02478,113000.0,THANH CONG,2026-01-11 04:31:00
GD001144,KH01917,393000.0,THANH CONG,2026-01-11 04:47:00
GD001145,KH02935,741000.0,THANH CONG,2026-01-11 05:19:00
GD001146,KH02202,246000.0,THANH CONG,2026-01-11 05:20:00
GD001147,KH01000,3511000.0,THANH CONG,2026-01-11 05:25:00
GD001148,KH00551,498000.0,THANH CONG,2026-01-11 05:32:00
GD001149,KH00707,464000.0,THANH CONG,2026-01-11 05:57:00
GD001150,KH00212,614000.0,CHO XU LY,2026-01-11 06:01:00
GD001151,KH01087,391000.0,THANH CONG,2026-01-11 06:11:00
GD001152,KH02773,296000.0,THANH CONG,2026-01-11 06:12:00
GD001153,KH01990,502000.0,THAT BAI,2026-01-11 06:30:00
GD001154,KH01675,291000.0,THANH CONG,2026-01-11 06:44:00
GD001155,KH02840,169000.0,THAT BAI,2026-01-11 06:53:00
GD001156,KH00224,554000.0,CHO XU LY,2026-01-11 07:08:00
GD001157,KH00936,1218000.0,THANH CONG,2026-01-11 07:32:00
GD001158,KH02913,231000.0,THANH CONG,2026-01-11 07:38:00
GD001159,KH02263,1053000.0,THANH CONG,2026-01-11 07:39:00
GD001160,KH01689,677000.0,THANH CONG,2026-01-11 07:50:00
GD001161,KH01537,128000.0,THANH CONG,2026-01-11 08:01:00
GD001162,KH01114,296000.0,THANH CONG,2026-01-11 08:07:00
GD001163,KH01015,119000.0,THAT BAI,2026-01-11 08:11:00
GD001164,KH01856,149000.0,THANH CONG,2026-01-11 08:14:00
GD001165,KH01002,189000.0,THANH CONG,2026-01-11 08:17:00
GD001166,KH00320,1585000.0,THANH CONG,2026-01-11 08:32:00
GD001167,KH00287,802000.0,THAT BAI,2026-01-11 08:47:00
GD001168,KH02416,902000.0,THANH CONG,2026-01-11 08:52:00
GD001169,KH01673,528000.0,THANH CONG,2026-01-11 09:05:00
GD001170,KH02062,432000.0,THANH CONG,2026-01-11 09:28:00
GD001171,KH00381,459000.0,THANH CONG,2026-01-11 09:31:00
GD001172,KH00535,200000.0,THANH CONG,2026-01-11 09:55:00
GD001173,KH02193,312000.0,THANH CONG,2026-01-11 10:12:00
GD001174,KH02814,536000.0,THANH CONG,2026-01-11 10:27:00
GD001175,KH02822,415000.0,THANH CONG,2026-01-11 10:39:00
GD001176,KH01388,204000.0,THANH CONG,2026-01-11 10:44:00
GD001177,KH00647,134000.0,THANH CONG,2026-01-11 10:55:00
GD001178,KH01072,242000.0,THANH CONG,2026-01-11 10:56:00
GD001179,KH01906,167000.0,THAT BAI,2026-01-11 11:23:00
GD001180,KH00086,139000.0,THANH CONG,2026-01-11 11:35:00
GD001181,KH00327,182000.0,THANH CONG,2026-01-11 11:46:00
GD001182,KH02961,185000.0,THANH CONG,2026-01-11 11:48:00
GD001183,KH02632,775000.0,THANH CONG,2026-01-11 11:52:00
GD001184,KH00542,437000.0,THANH CONG,2026-01-11 12:00:00
GD001185,KH01058,981000.0,THANH CONG,2026-01-11 12:09:00
GD001186,KH01196,404000.0,THANH CONG,2026-01-11 12:50:00
GD001187,KH00600,461000.0,THANH CONG,2026-01-11 13:09:00
GD001188,KH02632,654000.0,THANH CONG,2026-01-11 13:19:00
GD001189,KH00881,43000.0,THANH CONG,2026-01-11 13:32:00
GD001190,KH01300,592000.0,THANH CONG,2026-01-11 13:37:00
GD001191,KH00698,1018000.0,THANH CONG,2026-01-11 13:40:00
GD001192,KH02420,249000.0,THANH CONG,2026-01-11 14:04:00
GD001193,KH01733,45000.0,THANH CONG,2026-01-11 14:07:00
GD001194,KH00729,860000.0,THANH CONG,2026-01-11 14:09:00
GD001195,KH01998,1336000.0,THANH CONG,2026-01-11 14:16:00
GD001196,KH01044,624000.0,THANH CONG,2026-01-11 14:26:00
GD001197,KH02556,208000.0,THAT BAI,2026-01-11 14:28:00
GD001198,KH02736,341000.0,THANH CONG,2026-01-11 14:37:00
GD001199,KH00051,145000.0,THAT BAI,2026-01-11 14:42:00
GD001200,KH01587,497000.0,CHO XU LY,2026-01-11 14:49:00
GD001201,KH01108,817000.0,THANH CONG,2026-01-11 14:51:00
GD001202,KH00838,582000.0,THANH CONG,2026-01-11 15:06:00
GD001203,KH00157,1647000.0,THANH CONG,2026-01-11 15:09:00
GD001204,KH02768,2760000.0,THANH CONG,2026-01-11 16:00:00
GD001205,KH01468,527000.0,THAT BAI,2026-01-11 16:49:00
GD001206,KH01356,1334000.0,THANH CONG,2026-01-11 17:20:00
GD001207,KH01602,1532000.0,THANH CONG,2026-01-11 17:33:00
GD001208,KH01808,914000.0,THANH CONG,2026-01-11 17:40:00
GD001209,KH00070,269000.0,THANH CONG,2026-01-11 17:42:00
GD001210,KH00670,1638000.0,THANH CONG,2026-01-11 17:50:00
GD001211,KH00086,308000.0,THANH CONG,2026-01-11 17:52:00
GD001212,KH00179,1151000.0,THANH CONG,2026-01-11 18:12:00
GD001213,KH02403,357000.0,THANH CONG,2026-01-11 18:13:00
GD001214,KH02245,386000.0,THANH CONG,2026-01-11 18:31:00
GD001215,KH02889,311000.0,THANH CONG,2026-01-11 18:57:00
GD001216,KH01015,1366000.0,THANH CONG,2026-01-11 18:57:00
GD001217,KH00465,231000.0,THANH CONG,2026-01-11 19:11:00
GD001218,KH01489,878000.0,THANH CONG,2026-01-11 19:14:00
GD001219,KH01513,1603000.0,THANH CONG,2026-01-11 20:03:00
GD001220,KH02751,559000.0,THANH CONG,2026-01-11 20:35:00
GD001221,KH02910,1420000.0,THANH CONG,2026-01-11 20:41:00
GD001222,KH00714,1512000.0,THANH CONG,2026-01-11 20:50:00
GD001223,KH00661,493000.0,THANH CONG,2026-01-11 21:10:00
GD001224,KH02233,146000.0,THANH CONG,2026-01-11 21:23:00
GD001225,KH00089,431000.0,THANH CONG,2026-01-11 21:26:00
GD001226,KH01757,148000.0,THAT BAI,2026-01-11 21:30:00
GD001227,KH00779,965000.0,THANH CONG,2026-01-11 21:43:00
GD001228,KH02141,682000.0,THANH CONG,2026-01-11 21:51:00
GD001229,KH00967,171000.0,THANH CONG,2026-01-11 22:03:00
GD001230,KH00716,438000.0,THANH CONG,2026-01-11 22:06:00
GD001231,KH01199,1462000.0,THANH CONG,2026-01-11 22:31:00
GD001232,KH02485,1867000.0,THANH CONG,2026-01-11 22:35:00
GD001233,KH02789,315000.0,THANH CONG,2026-01-11 22:40:00
GD001234,KH02541,444000.0,THANH CONG,2026-01-11 22:40:00
GD001235,KH00528,367000.0,THAT BAI,2026-01-11 23:05:00
GD001236,KH00858,897000.0,THANH CONG,2026-01-11 23:16:00
GD001237,KH00475,118000.0,THANH CONG,2026-01-11 23:33:00
GD001238,KH02848,796000.0,THANH CONG,2026-01-11 23:42:00
GD001239,KH00029,278000.0,THANH CONG,2026-01-11 23:48:00
GD001240,KH00893,338000.0,THAT BAI,2026-01-11 23:53:00
GD001241,KH02705,244000.0,CHO XU LY,2026-01-12 00:03:00
GD001242,KH02838,562000.0,CHO XU LY,2026-01-12 00:31:00
GD001243,KH00428,3349000.0,THANH CONG,2026-01-12 00:45:00
GD001244,KH01880,409000.0,THANH CONG,2026-01-12 00:46:00
GD001245,KH01566,621000.0,THANH CONG,2026-01-12 00:52:00
GD001246,KH01376,403000.0,THANH CONG,2026-01-12 01:12:00
GD001247,KH02015,185000.0,THANH CONG,2026-01-12 01:14:00
GD001248,KH00396,975000.0,THANH CONG,2026-01-12 01:27:00
GD001249,KH00734,409000.0,THANH CONG,2026-01-12 01:34:00
GD001250,KH00033,915000.0,THANH CONG,2026-01-12 01:43:00
GD001251,KH01845,40000.0,THANH CONG,2026-01-12 01:45:00
GD001252,KH02006,558000.0,THAT BAI,2026-01-12 01:48:00
GD001253,KH02121,258000.0,THANH CONG,2026-01-12 02:15:00
GD001254,KH00804,1090000.0,THANH CONG,2026-01-12 02:19:00
GD001255,KH02390,1286000.0,THANH CONG,2026-01-12 02:25:00
GD001256,KH02532,318000.0,THANH CONG,2026-01-12 02:33:00
GD001257,KH01624,256000.0,THANH CONG,2026-01-12 02:56:00
GD001258,KH00372,59000.0,THAT BAI,2026-01-12 03:05:00
GD001259,KH00817,185000.0,THANH CONG,2026-01-12 03:07:00
GD001260,KH01442,1113000.0,THANH CONG,2026-01-12 03:16:00
GD001261,KH00832,1977000.0,THAT BAI,2026-01-12 03:29:00
GD001262,KH02303,470000.0,THAT BAI,2026-01-12 03:49:00
GD001263,KH02956,2546000.0,THANH CONG,2026-01-12 03:58:00
GD001264,KH00019,616000.0,THANH CONG,2026-01-12 04:08:00
GD001265,KH02553,74000.0,THANH CONG,2026-01-12 04:17:00
GD001266,KH00580,700000.0,THANH CONG,2026-01-12 04:24:00
GD001267,KH00472,650000.0,THANH CONG,2026-01-12 04:30:00
GD001268,KH00760,1071000.0,THANH CONG,2026-01-12 05:09:00
GD001269,KH01464,1287000.0,THANH CONG,2026-01-12 05:26:00
GD001270,KH02649,510000.0,THANH CONG,2026-01-12 05:28:00
GD001271,KH01633,493000.0,THANH CONG,2026-01-12 05:30:00
GD001272,KH01760,80000.0,THANH CONG,2026-01-12 05:52:00
GD001273,KH02997,550000.0,THANH CONG,2026-01-12 05:52:00
