ma_kh,tuoi,thu_nhap,chi_tieu,nghe_nghiep,thanh_pho,so_don_hang,diem_chi_tieu
KH03268,41.0,4.9,8.3,sinh_vien,TP HCM,2,100.0
KH03269,46.0,16.7,11.6,ky_su,TP HCM,2,76.0
KH03270,38.0,13.6,10.8,nhan_vien,Ha Noi,1,70.0
KH03271,37.0,17.4,11.1,nhan_vien,Ha Noi,2,75.0
KH03272,18.0,8.5,6.8,giao_vien,Da Nang,1,70.0
KH03273,48.0,27.6,16.5,nhan_vien,Ha Noi,6,52.0
KH03274,43.0,7.9,4.8,ky_su,Can Tho,0,72.0
KH03275,39.0,7.2,3.3,sinh_vien,Ha Noi,0,39.0
KH03276,34.0,32.9,17.7,kinh_doanh,Da Nang,4,50.0
KH03277,47.0,15.2,7.8,nhan_vien,Ha Noi,4,56.0
KH03278,30.0,13.1,7.5,nhan_vien,Ha Noi,0,47.0
KH03279,28.0,17.1,6.9,nhan_vien,Ha Noi,0,39.0
KH03280,18.0,22.4,8.6,ky_su,Hai Phong,2,45.0
KH03281,37.0,13.0,6.6,nhan_vien,Ha Noi,2,54.0
KH03282,24.0,16.5,14.3,ky_su,Da Nang,4,77.0
KH03283,38.0,12.3,8.2,nhan_vien,TP HCM,2,58.0
KH03284,36.0,17.0,10.1,ky_su,Ha Noi,1,62.0
KH03285,32.0,15.1,11.2,nhan_vien,Hai Phong,4,66.0
KH03286,44.0,12.9,7.2,nhan_vien,Can Tho,0,51.0
KH03287,46.0,13.3,6.9,kinh_doanh,TP HCM,2,48.0
KH03288,48.0,25.8,17.4,bac_si,Ha Noi,8,54.0
KH03289,25.0,18.9,12.3,kinh_doanh,Ha Noi,2,59.0
KH03290,52.0,7.8,8.1,ky_su,Ha Noi,2,86.0
KH03291,31.0,21.8,11.8,nhan_vien,TP HCM,2,45.0
KH03292,46.0,19.3,15.3,nhan_vien,TP HCM,4,84.0
KH03293,19.0,15.7,5.7,nhan_vien,Ha Noi,3,43.0
KH03294,52.0,45.4,14.5,bac_si,TP HCM,3,33.0
KH03295,18.0,13.9,2.4,ky_su,Da Nang,0,19.0
KH03296,37.0,9.3,5.3,giao_vien,Ha Noi,1,57.0
KH03297,41.0,25.5,16.6,nhan_vien,Can Tho,3,69.0
KH03298,27.0,17.9,9.6,nhan_vien,Ha Noi,0,47.0
KH03299,42.0,10.8,7.5,kinh_doanh,Ha Noi,2,60.0
KH03300,41.0,31.7,24.5,bac_si,Ha Noi,7,89.0
KH03301,34.0,17.1,8.2,giao_vien,Hai Phong,2,53.0
KH03302,38.0,6.9,4.8,giao_vien,TP HCM,1,81.0
KH03303,44.0,3.1,1.0,sinh_vien,TP HCM,0,31.0
KH03304,40.0,15.6,9.9,giao_vien,TP HCM,2,68.0
KH03305,18.0,14.8,7.4,ky_su,TP HCM,3,45.0
KH03306,27.0,50.5,34.3,bac_si,TP HCM,12,81.0
KH03307,42.0,18.4,14.8,ky_su,Da Nang,0,71.0
KH03308,24.0,17.3,14.0,nhan_vien,Ha Noi,4,74.0
KH03309,42.0,16.2,7.7,kinh_doanh,TP HCM,3,39.0
KH03310,33.0,10.6,9.9,bac_si,TP HCM,1,88.0
KH03311,36.0,20.7,16.9,giao_vien,TP HCM,4,86.0
KH03312,36.0,22.2,17.0,bac_si,TP HCM,6,87.0
KH03313,27.0,11.3,2.3,giao_vien,Ha Noi,0,20.0
KH03314,39.0,11.6,5.9,nhan_vien,TP HCM,1,57.0
KH03315,25.0,3.7,4.2,sinh_vien,Ha Noi,1,100.0
KH03316,25.0,19.5,10.2,nhan_vien,Da Nang,2,49.0
KH03317,31.0,26.8,12.1,nhan_vien,Ha Noi,2,43.0
KH03318,29.0,48.2,38.9,bac_si,Ha Noi,10,92.0
KH03319,40.0,21.0,15.8,bac_si,Can Tho,6,83.0
KH03320,29.0,8.2,5.8,sinh_vien,Ha Noi,0,70.0
KH03321,36.0,27.8,17.9,kinh_doanh,TP HCM,2,56.0
KH03322,37.0,14.2,9.9,ky_su,TP HCM,2,76.0
KH03323,32.0,22.4,11.2,giao_vien,Ha Noi,5,44.0
KH03324,55.0,16.0,12.1,nhan_vien,Can Tho,6,89.0
KH03325,42.0,13.1,8.4,nhan_vien,TP HCM,1,60.0
KH03326,35.0,9.8,5.2,giao_vien,Ha Noi,1,62.0
KH03327,54.0,13.3,10.8,nhan_vien,TP HCM,1,97.0
KH03328,73.0,54.9,29.3,bac_si,Can Tho,8,56.0
KH03329,34.0,33.0,15.7,ky_su,Ha Noi,3,44.0
KH03330,27.0,47.2,20.6,bac_si,Ha Noi,4,36.0
KH03331,27.0,15.6,8.4,ky_su,TP HCM,2,47.0
KH03332,45.0,25.5,11.6,ky_su,Da Nang,1,48.0
KH03333,39.0,5.5,0.5,sinh_vien,Hai Phong,0,7.0
KH03334,39.0,28.8,15.0,ky_su,Hai Phong,5,55.0
KH03335,36.0,16.1,13.3,kinh_doanh,Da Nang,3,71.0
KH03336,34.0,13.8,4.9,giao_vien,Da Nang,0,38.0
KH03337,38.0,13.2,11.2,giao_vien,TP HCM,5,98.0
KH03338,29.0,22.9,16.5,ky_su,Ha Noi,4,59.0
KH03339,24.0,2.7,3.7,sinh_vien,Ha Noi,1,100.0
KH03340,18.0,8.8,3.8,giao_vien,TP HCM,0,47.0
KH03341,52.0,23.3,20.1,kinh_doanh,TP HCM,3,74.0
KH03342,32.0,17.2,8.1,nhan_vien,Ha Noi,1,54.0
KH03343,18.0,18.2,8.4,nhan_vien,Da Nang,4,42.0
KH03344,49.0,17.4,16.2,kinh_doanh,Ha Noi,6,99.0
KH03345,23.0,9.2,3.2,nhan_vien,TP HCM,2,42.0
KH03346,40.0,23.5,18.6,ky_su,Ha Noi,5,81.0
KH03347,38.0,7.7,2.9,sinh_vien,TP HCM,0,43.0
KH03348,36.0,30.9,17.3,ky_su,TP HCM,4,45.0
KH03349,39.0,14.2,10.5,ky_su,TP HCM,4,67.0
KH03350,23.0,12.4,7.0,nhan_vien,TP HCM,4,57.0
KH03351,23.0,21.8,18.8,kinh_doanh,TP HCM,5,76.0
KH03352,48.0,38.1,29.8,kinh_doanh,Da Nang,8,65.0
KH03353,28.0,22.1,13.6,nhan_vien,Hai Phong,4,66.0
KH03354,32.0,46.8,27.2,ky_su,Ha Noi,5,69.0
KH03355,45.0,42.6,32.4,kinh_doanh,Hai Phong,6,81.0
KH03356,26.0,16.8,12.6,nhan_vien,TP HCM,4,61.0
KH03357,42.0,37.2,16.5,ky_su,Ha Noi,4,53.0
KH03358,35.0,4.8,3.8,sinh_vien,Da Nang,1,93.0
KH03359,57.0,8.6,1.4,giao_vien,Hai Phong,1,14.0
KH03360,24.0,18.2,14.3,bac_si,TP HCM,8,78.0
KH03361,37.0,23.6,8.7,kinh_doanh,Hai Phong,3,38.0
KH03362,41.0,9.5,7.5,giao_vien,Ha Noi,2,76.0
KH03363,37.0,29.6,14.3,kinh_doanh,Can Tho,2,54.0
KH03364,18.0,35.9,24.7,bac_si,Da Nang,7,59.0
KH03365,34.0,11.3,5.2,sinh_vien,Ha Noi,0,50.0
KH03366,19.0,21.4,13.4,ky_su,Hai Phong,1,71.0
KH03367,27.0,3.0,4.9,sinh_vien,Can Tho,2,100.0
KH03368,37.0,34.6,21.1,nhan_vien,TP HCM,6,63.0
KH03369,58.0,11.0,6.1,nhan_vien,Ha Noi,1,60.0
KH03370,19.0,8.1,5.6,ky_su,Ha Noi,2,71.0
KH03371,41.0,10.4,3.9,nhan_vien,Ha Noi,2,39.0
KH03372,25.0,20.8,13.8,ky_su,Ha Noi,4,64.0
KH03373,43.0,1.7,1.6,sinh_vien,Can Tho,1,85.0
KH03374,46.0,7.9,6.4,giao_vien,TP HCM,0,88.0
KH03375,28.0,24.1,17.2,kinh_doanh,Ha Noi,4,78.0
KH03376,23.0,16.9,10.0,nhan_vien,TP HCM,3,56.0
KH03377,36.0,23.3,15.8,nhan_vien,Ha Noi,3,70.0
KH03378,27.0,13.0,10.6,giao_vien,Ha Noi,5,74.0
KH03379,24.0,26.3,18.2,bac_si,Ha Noi,5,59.0
KH03380,46.0,11.7,5.8,nhan_vien,Hai Phong,4,43.0
KH03381,49.0,13.6,4.5,nhan_vien,Ha Noi,0,32.0
KH03382,50.0,11.7,7.3,giao_vien,TP HCM,1,55.0
KH03383,38.0,12.3,11.7,nhan_vien,Ha Noi,2,89.0
KH03384,30.0,14.0,6.1,nhan_vien,Can Tho,5,40.0
KH03385,23.0,16.1,12.6,nhan_vien,Ha Noi,2,87.0
KH03386,23.0,12.5,7.7,giao_vien,TP HCM,1,73.0
KH03387,22.0,14.6,8.0,giao_vien,Can Tho,2,54.0
KH03388,51.0,9.8,6.9,nhan_vien,TP HCM,5,82.0
KH03389,42.0,11.5,9.0,sinh_vien,TP HCM,2,72.0
KH03390,29.0,10.3,9.0,nhan_vien,TP HCM,5,94.0
KH03391,40.0,8.6,8.1,nhan_vien,TP HCM,2,96.0
KH03392,43.0,5.4,4.5,sinh_vien,TP HCM,2,82.0
KH03393,34.0,11.8,4.7,kinh_doanh,TP HCM,0,40.0
KH03394,43.0,20.8,15.5,ky_su,TP HCM,3,87.0
KH03395,25.0,11.3,6.3,nhan_vien,TP HCM,2,57.0
KH03396,25.0,14.8,9.5,ky_su,Da Nang,3,72.0
KH03397,23.0,11.8,8.7,giao_vien,Can Tho,1,80.0
KH03398,42.0,15.2,7.8,giao_vien,Ha Noi,0,54.0
KH03399,28.0,7.9,2.4,nhan_vien,Ha Noi,1,27.0
KH03400,42.0,7.3,3.3,giao_vien,TP HCM,0,47.0
KH03401,37.0,9.0,2.4,kinh_doanh,Can Tho,2,26.0
KH03402,31.0,38.3,12.4,ky_su,Ha Noi,3,38.0
KH03403,35.0,11.4,5.9,nhan_vien,Da Nang,2,43.0
KH03404,24.0,11.2,6.2,nhan_vien,TP HCM,0,53.0
KH03405,29.0,31.8,19.2,kinh_doanh,Can Tho,3,50.0
KH03406,36.0,19.6,13.7,kinh_doanh,TP HCM,2,83.0
KH03407,39.0,14.0,11.8,nhan_vien,TP HCM,2,79.0
KH03408,41.0,31.8,25.5,kinh_doanh,TP HCM,8,76.0
KH03409,40.0,23.5,17.9,nhan_vien,Ha Noi,4,70.0
KH03410,30.0,41.8,16.6,kinh_doanh,Da Nang,5,47.0
KH03411,45.0,13.4,9.6,nhan_vien,TP HCM,4,73.0
KH03412,40.0,41.3,17.0,bac_si,TP HCM,8,42.0
KH03413,64.0,17.5,9.9,giao_vien,Ha Noi,1,59.0
KH03414,35.0,18.6,13.1,nhan_vien,Ha Noi,4,66.0
KH03415,45.0,13.7,4.8,giao_vien,Ha Noi,2,33.0
KH03416,44.0,7.6,5.8,nhan_vien,Can Tho,2,73.0
KH03417,34.0,3.7,2.5,sinh_vien,Can Tho,0,58.0
KH03418,41.0,18.3,14.4,nhan_vien,Da Nang,3,71.0
KH03419,37.0,46.9,20.3,bac_si,Can Tho,8,51.0
KH03420,38.0,26.5,23.6,giao_vien,TP HCM,5,82.0
KH03421,50.0,29.0,16.8,giao_vien,Ha Noi,2,68.0
KH03422,25.0,26.6,22.4,ky_su,Ha Noi,6,75.0
KH03423,39.0,25.9,8.3,ky_su,Ha Noi,2,33.0
KH03424,37.0,45.5,14.1,kinh_doanh,Ha Noi,3,36.0
KH03425,48.0,10.0,6.7,nhan_vien,TP HCM,1,59.0
KH03426,58.0,9.1,6.0,nhan_vien,Can Tho,3,71.0
KH03427,37.0,27.1,22.6,kinh_doanh,TP HCM,4,91.0
KH03428,33.0,29.6,20.7,kinh_doanh,TP HCM,7,77.0
KH03429,46.0,9.7,3.6,nhan_vien,Ha Noi,2,30.0
KH03430,33.0,24.0,18.8,nhan_vien,TP HCM,3,71.0
KH03431,49.0,22.1,17.6,nhan_vien,Ha Noi,6,73.0
KH03432,25.0,20.6,9.8,kinh_doanh,Can Tho,6,55.0
KH03433,34.0,8.7,5.1,sinh_vien,Ha Noi,1,56.0
KH03434,39.0,17.2,11.0,nhan_vien,TP HCM,6,70.0
KH03435,35.0,9.4,5.3,ky_su,TP HCM,0,51.0
KH03436,19.0,5.4,3.1,sinh_vien,Da Nang,1,60.0
KH03437,45.0,20.0,16.3,nhan_vien,TP HCM,7,80.0
KH03438,27.0,28.8,10.2,ky_su,TP HCM,5,32.0
KH03439,47.0,20.9,13.3,nhan_vien,Can Tho,3,63.0
KH03440,34.0,57.5,27.5,kinh_doanh,TP HCM,7,48.0
KH03441,65.0,27.6,14.0,ky_su,Ha Noi,6,51.0
KH03442,18.0,42.3,32.0,ky_su,TP HCM,10,77.0
KH03443,36.0,13.1,9.7,nhan_vien,TP HCM,2,61.0
KH03444,48.0,25.8,10.6,nhan_vien,Da Nang,3,43.0
KH03445,32.0,11.4,8.7,kinh_doanh,TP HCM,2,61.0
KH03446,33.0,36.3,18.6,kinh_doanh,TP HCM,6,51.0
KH03447,34.0,9.0,5.4,nhan_vien,TP HCM,2,58.0
KH03448,35.0,6.7,7.4,giao_vien,Ha Noi,0,100.0
KH03449,34.0,7.2,7.6,giao_vien,Ha Noi,2,100.0
KH03450,37.0,6.1,3.5,sinh_vien,TP HCM,1,53.0
KH03451,40.0,14.6,5.7,ky_su,Ha Noi,0,35.0
KH03452,18.0,3.2,1.1,sinh_vien,Hai Phong,0,33.0
KH03453,29.0,32.5,15.5,nhan_vien,Can Tho,6,49.0
KH03454,21.0,14.9,7.8,nhan_vien,TP HCM,5,56.0
KH03455,24.0,14.1,11.0,ky_su,Ha Noi,4,71.0
KH03456,21.0,14.4,7.4,nhan_vien,TP HCM,4,60.0
KH03457,39.0,31.2,19.8,ky_su,Hai Phong,7,67.0
KH03458,25.0,21.0,7.3,nhan_vien,Ha Noi,1,28.0
KH03459,36.0,13.4,11.7,ky_su,Hai Phong,2,83.0
KH03460,39.0,27.6,15.1,bac_si,Ha Noi,4,65.0
KH03461,21.0,13.1,10.0,giao_vien,TP HCM,3,70.0
KH03462,46.0,5.9,5.5,sinh_vien,Can Tho,0,99.0
KH03463,47.0,15.0,9.1,giao_vien,TP HCM,1,72.0
KH03464,31.0,4.8,5.2,sinh_vien,TP HCM,0,99.0
KH03465,38.0,22.5,12.3,bac_si,TP HCM,3,59.0
KH03466,28.0,40.2,25.7,nhan_vien,Da Nang,7,54.0
KH03467,36.0,3.4,4.4,sinh_vien,Ha Noi,0,100.0
KH03468,42.0,18.0,15.7,ky_su,Can Tho,4,86.0
KH03469,43.0,10.6,6.7,giao_vien,Da Nang,2,63.0
KH03470,24.0,7.2,3.1,sinh_vien,TP HCM,3,50.0
KH03471,35.0,24.5,9.6,kinh_doanh,Ha Noi,2,45.0
KH03472,30.0,5.2,2.3,sinh_vien,TP HCM,0,39.0
KH03473,56.0,17.2,9.0,ky_su,Ha Noi,2,59.0
KH03474,30.0,18.1,7.5,nhan_vien,Ha Noi,3,38.0
KH03475,40.0,20.4,15.3,nhan_vien,Ha Noi,2,80.0
KH03476,39.0,15.2,4.5,kinh_doanh,TP HCM,3,30.0
KH03477,44.0,19.0,8.2,nhan_vien,Da Nang,1,38.0
KH03478,51.0,8.2,2.1,ky_su,Ha Noi,1,26.0
KH03479,32.0,7.9,1.6,nhan_vien,Ha Noi,0,18.0
KH03480,48.0,32.8,22.2,kinh_doanh,Da Nang,6,65.0
KH03481,43.0,16.8,11.3,ky_su,Da Nang,3,75.0
KH03482,34.0,5.4,3.7,sinh_vien,Ha Noi,1,66.0
KH03483,29.0,17.8,7.1,ky_su,Ha Noi,1,40.0
KH03484,40.0,3.2,1.7,sinh_vien,Hai Phong,1,48.0
KH03485,30.0,11.8,4.1,nhan_vien,Can Tho,1,35.0
KH03486,27.0,36.3,29.8,ky_su,Ha Noi,9,92.0
KH03487,39.0,49.3,37.5,giao_vien,TP HCM,5,84.0
KH03488,27.0,14.2,10.5,ky_su,TP HCM,1,64.0
KH03489,45.0,44.7,26.1,bac_si,Can Tho,9,67.0
KH03490,31.0,4.3,1.7,sinh_vien,TP HCM,1,32.0
KH03491,28.0,23.6,12.3,nhan_vien,Da Nang,5,57.0
KH03492,48.0,5.0,1.3,sinh_vien,Ha Noi,0,24.0
KH03493,40.0,15.7,2.4,nhan_vien,TP HCM,2,13.0
KH03494,22.0,24.4,8.9,bac_si,Ha Noi,2,38.0
KH03495,43.0,27.7,17.6,bac_si,Ha Noi,3,67.0
KH03496,36.0,13.6,9.1,kinh_doanh,Ha Noi,0,65.0
KH03497,41.0,22.8,13.4,nhan_vien,Da Nang,5,66.0
KH03498,19.0,66.1,27.8,nhan_vien,Can Tho,5,37.0
KH03499,28.0,5.3,4.4,sinh_vien,Ha Noi,2,68.0
KH03500,45.0,15.7,11.1,ky_su,Hai Phong,2,74.0
KH03501,34.0,10.1,5.3,nhan_vien,Ha Noi,0,47.0
KH03502,40.0,6.8,4.6,giao_vien,Ha Noi,1,71.0
KH03503,28.0,8.4,8.2,giao_vien,TP HCM,2,99.0
KH03504,40.0,4.9,2.6,sinh_vien,Ha Noi,0,54.0
KH03505,37.0,15.6,7.8,kinh_doanh,Ha Noi,5,43.0
KH03506,18.0,16.1,12.9,nhan_vien,Da Nang,2,70.0
KH03507,36.0,27.8,20.9,ky_su,TP HCM,1,77.0
KH03508,41.0,11.6,5.8,nhan_vien,TP HCM,1,52.0
KH03509,57.0,5.3,4.3,nhan_vien,Can Tho,1,96.0
KH03510,25.0,19.6,6.4,kinh_doanh,TP HCM,4,34.0
KH03511,39.0,23.6,17.9,kinh_doanh,TP HCM,7,78.0
KH03512,40.0,19.0,11.2,nhan_vien,Ha Noi,2,62.0
KH03513,33.0,19.8,7.6,nhan_vien,Da Nang,4,41.0
KH03514,51.0,19.9,13.2,ky_su,Can Tho,6,68.0
KH03515,26.0,7.1,5.2,giao_vien,Ha Noi,1,75.0
KH03516,38.0,6.7,3.5,giao_vien,Can Tho,0,49.0
KH03517,35.0,12.3,9.0,nhan_vien,Da Nang,2,65.0
KH03518,18.0,27.4,8.6,kinh_doanh,Can Tho,1,34.0
KH03519,55.0,31.9,16.6,kinh_doanh,TP HCM,1,51.0
KH03520,33.0,32.3,19.6,bac_si,TP HCM,6,57.0
KH03521,35.0,13.4,5.5,nhan_vien,Ha Noi,2,34.0
KH03522,22.0,39.5,24.3,bac_si,Can Tho,7,60.0
KH03523,43.0,14.9,4.2,giao_vien,Hai Phong,1,28.0
KH03524,41.0,9.1,4.9,sinh_vien,TP HCM,1,59.0
KH03525,39.0,16.0,12.8,giao_vien,Hai Phong,6,87.0
KH03526,42.0,18.0,7.6,nhan_vien,Ha Noi,1,47.0
KH03527,32.0,18.0,8.6,nhan_vien,TP HCM,2,47.0
KH03528,42.0,5.6,6.3,sinh_vien,Hai Phong,0,98.0
KH03529,43.0,15.1,11.3,nhan_vien,Ha Noi,5,71.0
KH03530,44.0,5.4,2.0,sinh_vien,TP HCM,0,34.0
KH03531,41.0,18.0,12.1,nhan_vien,Ha Noi,2,73.0
KH03532,19.0,54.0,20.8,ky_su,TP HCM,4,40.0
KH03533,26.0,15.0,7.3,giao_vien,TP HCM,1,39.0
KH03534,18.0,14.7,7.0,nhan_vien,Ha Noi,4,41.0
KH03535,29.0,10.3,3.9,giao_vien,Ha Noi,2,42.0
KH03536,37.0,31.2,13.7,bac_si,Ha Noi,3,36.0
KH03537,41.0,16.1,14.1,ky_su,TP HCM,1,100.0
KH03538,52.0,11.7,7.6,nhan_vien,Hai Phong,4,76.0
KH03539,53.0,36.0,23.7,bac_si,Ha Noi,11,72.0
KH03540,30.0,11.8,6.8,giao_vien,Ha Noi,2,54.0
KH03541,18.0,19.2,11.3,giao_vien,Ha Noi,3,63.0
KH03542,29.0,19.8,7.6,kinh_doanh,TP HCM,2,38.0
KH03543,21.0,34.0,27.6,ky_su,TP HCM,8,67.0
KH03544,44.0,40.7,13.9,kinh_doanh,Can Tho,4,38.0
KH03545,43.0,21.9,10.9,nhan_vien,Can Tho,3,56.0
KH03546,23.0,10.9,4.0,kinh_doanh,TP HCM,1,42.0
KH03547,45.0,25.7,10.3,giao_vien,TP HCM,3,42.0
KH03548,36.0,10.4,3.8,nhan_vien,TP HCM,0,41.0
KH03549,28.0,19.6,19.8,ky_su,Ha Noi,3,92.0
KH03550,22.0,35.8,24.5,ky_su,TP HCM,8,70.0
KH03551,18.0,8.2,6.1,nhan_vien,Ha Noi,1,67.0
KH03552,45.0,19.1,12.7,nhan_vien,Da Nang,3,61.0
KH03553,40.0,8.4,6.9,nhan_vien,Ha Noi,0,84.0
KH03554,48.0,15.9,9.9,giao_vien,Ha Noi,0,68.0
KH03555,50.0,16.0,12.4,nhan_vien,Hai Phong,3,75.0
KH03556,48.0,23.7,7.7,ky_su,Da Nang,1,36.0
KH03557,25.0,9.1,2.4,nhan_vien,Ha Noi,1,30.0
KH03558,19.0,37.0,30.8,ky_su,TP HCM,7,94.0
KH03559,21.0,3.5,0.5,nhan_vien,TP HCM,1,14.0
KH03560,29.0,11.4,5.0,ky_su,Ha Noi,1,47.0
KH03561,49.0,22.9,20.6,ky_su,Hai Phong,3,88.0
KH03562,49.0,5.7,5.2,giao_vien,Ha Noi,2,100.0
KH03563,22.0,6.3,3.0,sinh_vien,TP HCM,2,47.0
KH03564,24.0,43.1,28.5,kinh_doanh,Da Nang,10,54.0
KH03565,32.0,27.4,17.7,ky_su,TP HCM,5,61.0
KH03566,29.0,19.4,13.5,giao_vien,Can Tho,3,79.0
KH03567,54.0,10.1,5.6,ky_su,Ha Noi,0,46.0
KH03568,43.0,22.9,17.2,nhan_vien,TP HCM,7,83.0
KH03569,43.0,10.0,6.5,nhan_vien,Ha Noi,2,57.0
KH03570,36.0,16.5,9.9,kinh_doanh,TP HCM,2,56.0
KH03571,22.0,57.9,40.4,kinh_doanh,Da Nang,8,58.0
KH03572,28.0,30.4,14.4,nhan_vien,TP HCM,9,54.0
KH03573,24.0,17.3,8.4,kinh_doanh,Da Nang,3,43.0
KH03574,47.0,7.2,0.5,sinh_vien,TP HCM,0,7.0
KH03575,46.0,26.5,14.9,nhan_vien,Da Nang,6,65.0
KH03576,22.0,21.1,14.0,ky_su,Hai Phong,3,68.0
KH03577,31.0,10.2,7.3,bac_si,Hai Phong,1,80.0
KH03578,48.0,37.0,29.0,bac_si,Can Tho,3,82.0
KH03579,44.0,26.2,17.0,ky_su,TP HCM,4,74.0
KH03580,35.0,26.1,8.2,nhan_vien,Hai Phong,0,32.0
KH03581,18.0,17.2,14.4,kinh_doanh,TP HCM,4,75.0
KH03582,33.0,10.8,5.8,nhan_vien,TP HCM,3,52.0
KH03583,45.0,20.1,5.9,nhan_vien,TP HCM,0,31.0
KH03584,27.0,10.0,5.7,sinh_vien,Da Nang,1,50.0
KH03585,52.0,11.9,6.6,nhan_vien,TP HCM,0,61.0
KH03586,32.0,17.3,7.8,kinh_doanh,TP HCM,3,50.0
KH03587,36.0,25.7,20.9,bac_si,Ha Noi,2,68.0
KH03588,44.0,24.5,12.4,ky_su,TP HCM,2,43.0
KH03589,26.0,17.0,9.5,ky_su,Ha Noi,1,53.0
KH03590,26.0,6.1,4.6,sinh_vien,Can Tho,2,88.0
KH03591,31.0,12.8,7.1,ky_su,Ha Noi,0,49.0
KH03592,49.0,19.9,13.0,nhan_vien,Ha Noi,5,68.0
KH03593,28.0,9.0,5.7,sinh_vien,Ha Noi,1,60.0
KH03594,50.0,15.8,9.0,nhan_vien,Ha Noi,6,46.0
KH03595,35.0,14.0,12.4,nhan_vien,TP HCM,5,81.0
KH03596,38.0,28.3,19.9,bac_si,TP HCM,7,60.0
KH03597,38.0,9.5,5.3,ky_su,Can Tho,0,46.0
KH03598,43.0,4.6,2.2,sinh_vien,TP HCM,0,56.0
KH03599,30.0,4.2,0.5,giao_vien,Hai Phong,1,10.0
KH03600,36.0,34.6,30.9,kinh_doanh,TP HCM,8,72.0
KH03601,24.0,18.0,11.9,giao_vien,Can Tho,7,60.0
KH03602,50.0,33.0,17.1,ky_su,Ha Noi,5,52.0
KH03603,40.0,26.6,10.4,kinh_doanh,Da Nang,4,46.0
KH03604,38.0,8.1,5.4,giao_vien,TP HCM,1,78.0
KH03605,39.0,34.0,19.4,giao_vien,Ha Noi,6,49.0
KH03606,42.0,55.5,33.7,kinh_doanh,Ha Noi,6,62.0
KH03607,42.0,28.5,21.5,nhan_vien,Can Tho,7,69.0
KH03608,53.0,8.2,4.7,giao_vien,TP HCM,0,67.0
KH03609,39.0,17.4,12.0,kinh_doanh,TP HCM,1,74.0
KH03610,37.0,20.6,16.3,nhan_vien,Hai Phong,7,76.0
KH03611,44.0,17.3,12.2,ky_su,TP HCM,4,74.0
KH03612,30.0,8.5,6.0,sinh_vien,Da Nang,2,70.0
KH03613,46.0,15.7,8.2,giao_vien,Hai Phong,1,63.0
KH03614,32.0,16.7,8.0,ky_su,Ha Noi,1,52.0
KH03615,34.0,11.5,8.6,giao_vien,TP HCM,3,87.0
KH03616,32.0,5.7,2.5,sinh_vien,Da Nang,0,41.0
KH03617,33.0,29.0,15.0,nhan_vien,TP HCM,6,53.0
KH03618,49.0,18.7,9.1,kinh_doanh,TP HCM,5,51.0
KH03619,27.0,10.0,2.7,nhan_vien,Da Nang,0,26.0
KH03620,21.0,8.3,4.3,nhan_vien,Ha Noi,0,55.0
KH03621,34.0,10.0,5.0,nhan_vien,TP HCM,2,60.0
KH03622,42.0,25.8,11.8,nhan_vien,TP HCM,4,52.0
KH03623,27.0,13.4,8.1,giao_vien,TP HCM,3,66.0
KH03624,39.0,15.5,12.3,nhan_vien,Da Nang,5,74.0
KH03625,21.0,2.7,2.8,sinh_vien,Da Nang,2,100.0
KH03626,55.0,32.9,21.5,ky_su,Hai Phong,5,78.0
KH03627,18.0,3.9,3.2,sinh_vien,Ha Noi,1,73.0
KH03628,51.0,26.2,19.6,ky_su,TP HCM,3,85.0
KH03629,47.0,31.3,21.1,giao_vien,TP HCM,2,72.0
KH03630,40.0,15.2,10.1,ky_su,Hai Phong,2,67.0
KH03631,36.0,68.9,47.8,kinh_doanh,Ha Noi,13,74.0
KH03632,49.0,21.9,12.6,ky_su,TP HCM,2,65.0
KH03633,39.0,38.6,19.0,bac_si,TP HCM,4,44.0
KH03634,28.0,8.4,8.8,sinh_vien,TP HCM,1,94.0
KH03635,30.0,31.0,12.4,ky_su,Hai Phong,4,33.0
KH03636,35.0,36.8,14.1,ky_su,TP HCM,5,46.0
KH03637,28.0,51.6,32.5,kinh_doanh,Ha Noi,11,74.0
KH03638,43.0,17.1,14.6,bac_si,TP HCM,4,82.0
KH03639,52.0,5.1,1.7,sinh_vien,TP HCM,0,36.0
KH03640,62.0,24.7,9.9,bac_si,TP HCM,3,46.0
KH03641,19.0,10.8,7.2,ky_su,TP HCM,0,78.0
KH03642,45.0,5.0,2.8,nhan_vien,TP HCM,0,53.0
KH03643,46.0,19.3,14.1,ky_su,Ha Noi,3,72.0
KH03644,18.0,24.5,15.4,giao_vien,Can Tho,8,71.0
KH03645,18.0,10.9,4.0,nhan_vien,Ha Noi,0,42.0
KH03646,32.0,31.6,20.0,kinh_doanh,Hai Phong,5,66.0
KH03647,34.0,10.6,7.9,nhan_vien,Ha Noi,1,88.0
KH03648,43.0,13.5,6.3,nhan_vien,Ha Noi,0,38.0
KH03649,26.0,29.6,18.9,nhan_vien,Ha Noi,6,73.0
KH03650,47.0,57.3,46.4,nhan_vien,Ha Noi,6,90.0
KH03651,36.0,26.3,21.3,giao_vien,Ha Noi,5,75.0
KH03652,50.0,15.5,6.2,kinh_doanh,Can Tho,1,44.0
KH03653,19.0,10.1,8.1,giao_vien,TP HCM,2,74.0
KH03654,54.0,13.1,9.6,nhan_vien,Can Tho,1,82.0
KH03655,27.0,18.3,16.2,nhan_vien,TP HCM,4,84.0
